"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	6600,00031348318	0	2,1528335	0	0	0	0	0	0	0	NA
0	0	6630,0003149081	0	2,1530304	0	0	0	0	0	0	0	NA
0	0	6660,00031633303	0	2,153424	0	0	0	0	0	0	0	NA
0	0	6690,00031775795	0	2,1536601	0	0	0	0	0	0	0	NA
0	0	6720,00031918287	0	2,1538963	0	0	0	0	0	0	0	NA
0	0	6750,0003206078	0	2,1541326	0	0	0	0	0	0	0	NA
0	0	6780,00032203272	0	2,1544869	0	0	0	0	0	0	0	NA
0	0	6810,00032345764	0	2,1548805	0	0	0	0	0	0	0	NA
0	0	6840,00032488257	0	2,1549199	0	0	0	0	0	0	0	NA
0	0	6870,00032630749	0	2,1554315	0	0	0	0	0	0	0	NA
0	0	6900,00032773241	0	2,1555495	0	0	0	0	0	0	0	NA
0	0	6930,00032915734	0	2,1557858	0	0	0	0	0	0	0	NA
0	0	6960,00033058226	0	2,1560221	0	0	0	0	0	0	0	NA
0	0	6990,00033200718	0	2,1562974	0	0	0	0	0	0	0	NA
0	0	7020,00033343211	0	2,1566517	0	0	0	0	0	0	0	NA
0	0	7050,00033485703	0	2,157006	0	0	0	0	0	0	0	NA
0	0	7080,00033628196	0	2,1570847	0	0	0	0	0	0	0	NA
0	0	7110,00033770688	0	2,1575177	0	0	0	0	0	0	0	NA
0	0	7140,0003391318	0	2,1577539	0	0	0	0	0	0	0	NA
0	0	7170,00034055673	0	2,1580689	0	0	0	0	0	0	0	NA
0	1	7200,04634198383	-6,97685218606809e-06	2,1402767	5,82295863164796e-08	0	-5,82295863164796e-08	-5,82295863164796e-08	5,82295863164796e-08	0	1,24627425123461e-10	NA
0	1	7200,06834198488	-0,104875870486267	2,1244133	6,99137714174059e-07	0	-6,40908127857579e-07	-6,99137714174059e-07	6,99137714174059e-07	0	1,48618114517967e-09	NA
0	1	7200,10834198678	-0,104870325561253	2,1088252	1,86436360908879e-06	0	-1,16522589491473e-06	-1,86436360908879e-06	1,86436360908879e-06	0	3,94343888394137e-09	NA
0	1	7200,15234198887	-0,10481951192667	2,0932767	3,14549103793171e-06	0	-1,28112742884291e-06	-3,14549103793171e-06	3,14549103793171e-06	0	6,62519313058748e-09	NA
0	1	7200,19834199105	-0,10490908850072	2,0781217	4,48599612133371e-06	0	-1,340505083402e-06	-4,48599612133371e-06	4,48599612133371e-06	0	9,41092578261381e-09	NA
0	1	7200,24634199333	-0,104822270250008	2,0626125	5,88362645771768e-06	0	-1,39763033638398e-06	-5,88362645771768e-06	5,88362645771768e-06	0	1,22936956317361e-08	NA
