cycle number	Ns	time/s	<I>/mA	Ecell/V	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	(Q-Qo)/mA.h	Capacity/mA.h	Energy charge/W.h	Energy discharge/W.h	
0,000000000000000E+000	1	7,218052342839073E+003	-9,003359765470904E-002	1,4295131E+000	2,005458126134343E-004	0,000000000000000E+000	-9,703621541460355E-006	-2,005458126134343E-004	2,005458126134343E-004	0,000000000000000E+000	3,361703556319945E-007
0,000000000000000E+000	1	7,218464342858642E+003	-9,002709416842282E-002	1,4144728E+000	2,108489138798582E-004	0,000000000000000E+000	-1,030310126642386E-005	-2,108489138798581E-004	2,108489138798582E-004	0,000000000000000E+000	3,507438123183123E-007
0,000000000000000E+000	1	7,218898342879256E+003	-9,002307986005666E-002	1,3994325E+000	2,217016968006889E-004	0,000000000000000E+000	-1,085278292083078E-005	-2,217016968006889E-004	2,217016968006889E-004	0,000000000000000E+000	3,659315498866267E-007
0,000000000000000E+000	1	7,219356342901010E+003	-9,003162389125247E-002	1,3844316E+000	2,331557206064463E-004	0,000000000000000E+000	-1,145402380575736E-005	-2,331557206064463E-004	2,331557206064463E-004	0,000000000000000E+000	3,817888623970060E-007
0,000000000000000E+000	1	7,219842342924094E+003	-9,002781710064392E-002	1,3693913E+000	2,453094764923057E-004	0,000000000000000E+000	-1,215375588585933E-005	-2,453094764923056E-004	2,453094764923057E-004	0,000000000000000E+000	3,984321102384602E-007
0,000000000000000E+000	1	7,220358342948603E+003	-9,002536361793860E-002	1,3543905E+000	2,582131125571000E-004	0,000000000000000E+000	-1,290363606479433E-005	-2,582131125570999E-004	2,582131125571000E-004	0,000000000000000E+000	4,159086723655728E-007
0,000000000000000E+000	1	7,220908342974726E+003	-9,004564277526282E-002	1,3393896E+000	2,719700864122974E-004	0,000000000000000E+000	-1,375697385519743E-005	-2,719700864122974E-004	2,719700864122974E-004	0,000000000000000E+000	4,343346195602790E-007
0,000000000000000E+000	1	7,221496343002655E+003	-9,002334972409511E-002	1,3243887E+000	2,866739008989600E-004	0,000000000000000E+000	-1,470381448666255E-005	-2,866739008989599E-004	2,866739008989600E-004	0,000000000000000E+000	4,538081859374425E-007
0,000000000000000E+000	1	7,222126343032578E+003	-9,002468468223253E-002	1,3093090E+000	3,024282214666407E-004	0,000000000000000E+000	-1,575432056768073E-005	-3,024282214666406E-004	3,024282214666407E-004	0,000000000000000E+000	4,744354597359794E-007
0,000000000000000E+000	1	7,222802343064686E+003	-9,003601562683433E-002	1,2942687E+000	3,193349852040411E-004	0,000000000000000E+000	-1,690676373740037E-005	-3,193349852040410E-004	3,193349852040411E-004	0,000000000000000E+000	4,963173553211895E-007
0,000000000000000E+000	1	7,223520343098789E+003	-9,001500024580980E-002	1,2792679E+000	3,372879777724545E-004	0,000000000000000E+000	-1,795299256841342E-005	-3,372879777724544E-004	3,372879777724545E-004	0,000000000000000E+000	5,192840425511311E-007
0,000000000000000E+000	1	7,224310343136312E+003	-9,003802468642778E-002	1,2642670E+000	3,570463230171138E-004	0,000000000000000E+000	-1,975834524465932E-005	-3,570463230171137E-004	3,570463230171138E-004	0,000000000000000E+000	5,442638657818173E-007
0,000000000000000E+000	1	7,225148343176115E+003	-9,002865041003273E-002	1,2492661E+000	3,780029931912820E-004	0,000000000000000E+000	-2,095667017416822E-005	-3,780029931912819E-004	3,780029931912820E-004	0,000000000000000E+000	5,704443243971076E-007
0,000000000000000E+000	1	7,226066343219718E+003	-9,002231190640070E-002	1,2342652E+000	4,009586838177510E-004	0,000000000000000E+000	-2,295569062646892E-005	-4,009586838177509E-004	4,009586838177510E-004	0,000000000000000E+000	5,987777346685786E-007
0,000000000000000E+000	1	7,227072343267500E+003	-9,001924817921787E-002	1,2192643E+000	4,261140638093155E-004	0,000000000000000E+000	-2,515537999156449E-005	-4,261140638093154E-004	4,261140638093155E-004	0,000000000000000E+000	6,294487906622694E-007
0,000000000000000E+000	1	7,228168343319558E+003	-9,003750644697613E-002	1,2042634E+000	4,535254837407007E-004	0,000000000000000E+000	-2,741141993138525E-005	-4,535254837407006E-004	4,535254837407007E-004	0,000000000000000E+000	6,624593617630202E-007
0,000000000000000E+000	1	7,229366343376460E+003	-9,002347642812812E-002	1,1892625E+000	4,834832975972031E-004	0,000000000000000E+000	-2,995781385650237E-005	-4,834832975972030E-004	4,834832975972031E-004	0,000000000000000E+000	6,980870666445248E-007
0,000000000000000E+000	1	7,230686343439156E+003	-9,002920399563470E-002	1,1742616E+000	5,164940072968603E-004	0,000000000000000E+000	-3,301070969965723E-005	-5,164940072968602E-004	5,164940072968603E-004	0,000000000000000E+000	7,368502744424929E-007
0,000000000000000E+000	1	7,232154343508882E+003	-9,003059685518869E-002	1,1592214E+000	5,532064857582252E-004	0,000000000000000E+000	-3,671247846136491E-005	-5,532064857582251E-004	5,532064857582252E-004	0,000000000000000E+000	7,794081655166546E-007
0,000000000000000E+000	1	7,233774343585828E+003	-9,002402486567919E-002	1,1442205E+000	5,937172988719411E-004	0,000000000000000E+000	-4,051081311371592E-005	-5,937172988719410E-004	5,937172988719411E-004	0,000000000000000E+000	8,257614671937044E-007
0,000000000000000E+000	1	7,235568343671039E+003	-9,002673596204659E-002	1,1291802E+000	6,385806244239211E-004	0,000000000000000E+000	-4,486332555198007E-005	-6,385806244239211E-004	6,385806244239211E-004	0,000000000000000E+000	8,764202457967508E-007
0,000000000000000E+000	1	7,237588343766984E+003	-9,002139722780668E-002	1,1141793E+000	6,890926330453819E-004	0,000000000000000E+000	-5,051200862146086E-005	-6,890926330453819E-004	6,890926330453819E-004	0,000000000000000E+000	9,326996778593450E-007
0,000000000000000E+000	1	7,239838343873853E+003	-9,002688759789478E-002	1,0991784E+000	7,453594404665959E-004	0,000000000000000E+000	-5,626680742121405E-005	-7,453594404665960E-004	7,453594404665959E-004	0,000000000000000E+000	9,945469390940428E-007
0,000000000000000E+000	1	7,242390343995066E+003	-9,003191493635751E-002	1,0841775E+000	8,091820676417814E-004	0,000000000000000E+000	-6,382262717518542E-005	-8,091820676417815E-004	8,091820676417814E-004	0,000000000000000E+000	1,063741995088464E-006
0,000000000000000E+000	1	7,245284344132524E+003	-9,002224669292194E-002	1,0691767E+000	8,815499549483258E-004	0,000000000000000E+000	-7,236788730654452E-005	-8,815499549483260E-004	8,815499549483258E-004	0,000000000000000E+000	1,141116052135260E-006
0,000000000000000E+000	1	7,248584344289266E+003	-9,003022425551567E-002	1,0541757E+000	9,640776644357376E-004	0,000000000000000E+000	-8,252770948741171E-005	-9,640776644357377E-004	9,640776644357376E-004	0,000000000000000E+000	1,228114760902402E-006
0,000000000000000E+000	1	7,252404344470706E+003	-9,002935132267319E-002	1,0391748E+000	1,059608813987838E-003	0,000000000000000E+000	-9,553114955210024E-005	-1,059608813987838E-003	1,059608813987838E-003	0,000000000000000E+000	1,327388323668722E-006
0,000000000000000E+000	1	7,256804344679695E+003	-9,002375025782024E-002	1,0241740E+000	1,169637847306827E-003	0,000000000000000E+000	-1,100290333189898E-004	-1,169637847306828E-003	1,169637847306827E-003	0,000000000000000E+000	1,440077196087432E-006
0,000000000000000E+000	1	7,261904344921932E+003	-9,002929835477652E-002	1,0090942E+000	1,297179359367324E-003	0,000000000000000E+000	-1,275415120604965E-004	-1,297179359367324E-003	1,297179359367324E-003	0,000000000000000E+000	1,568778601049358E-006
0,000000000000000E+000	1	7,267918345207581E+003	-9,002499659040465E-002	9,9405408E-001	1,447571124703520E-003	0,000000000000000E+000	-1,503917653361956E-004	-1,447571124703520E-003	1,447571124703520E-003	0,000000000000000E+000	1,718276148838204E-006
0,000000000000000E+000	1	7,275026345545193E+003	-9,002623144446684E-002	9,7905314E-001	1,625322925676074E-003	0,000000000000000E+000	-1,777518009725544E-004	-1,625322925676074E-003	1,625322925676074E-003	0,000000000000000E+000	1,892304607665328E-006
0,000000000000000E+000	1	7,283470345946262E+003	-9,002810755429749E-002	9,6405226E-001	1,836488863536053E-003	0,000000000000000E+000	-2,111659378599789E-004	-1,836488863536053E-003	1,836488863536053E-003	0,000000000000000E+000	2,095879607277795E-006
0,000000000000000E+000	1	7,293662346430356E+003	-9,002663926200169E-002	9,4901198E-001	2,091364294352630E-003	0,000000000000000E+000	-2,548754308165776E-004	-2,091364294352631E-003	2,091364294352630E-003	0,000000000000000E+000	2,337759444909458E-006
0,000000000000000E+000	1	7,306334347032243E+003	-9,002262183837387E-002	9,3401110E-001	2,408243938274681E-003	0,000000000000000E+000	-3,168796439220508E-004	-2,408243938274681E-003	2,408243938274681E-003	0,000000000000000E+000	2,633728550242595E-006
0,000000000000000E+000	1	7,322212347786408E+003	-8,999116198518468E-002	9,1901022E-001	2,805154976571599E-003	0,000000000000000E+000	-3,969110382969181E-004	-2,805154976571599E-003	2,805154976571599E-003	0,000000000000000E+000	2,998493851645490E-006
0,000000000000000E+000	1	7,342440348747186E+003	-8,996835706438587E-002	9,0400934E-001	3,310677202443281E-003	0,000000000000000E+000	-5,055222258716821E-004	-3,310677202443282E-003	3,310677202443281E-003	0,000000000000000E+000	3,455490666519996E-006
