"cycle.number"	"Ns"	"time.s"	"X.I..mA"	"Ecell.V"	"Q.discharge.mA.h"	"Q.charge.mA.h"	"dq.mA.h"	"X.Q.Qo..mA.h"	"Capacity.mA.h"	"Energy.charge.W.h"	"Energy.discharge.W.h"	"X"
0	0	6300,00029923394	0	2,0786076	0	0	0	0	0	0	0	NA
0	0	6330,00030065887	0	2,0788829	0	0	0	0	0	0	0	NA
0	0	6360,00030208379	0	2,0792372	0	0	0	0	0	0	0	NA
0	0	6390,00030350871	0	2,0795522	0	0	0	0	0	0	0	NA
0	0	6420,00030493364	0	2,0798671	0	0	0	0	0	0	0	NA
0	0	6450,00030635856	0	2,0801427	0	0	0	0	0	0	0	NA
0	0	6480,00030778348	0	2,0804183	0	0	0	0	0	0	0	NA
0	0	6510,00030920841	0	2,080812	0	0	0	0	0	0	0	NA
0	0	6540,00031063333	0	2,0811663	0	0	0	0	0	0	0	NA
0	0	6570,00031205826	0	2,081363	0	0	0	0	0	0	0	NA
0	0	6600,00031348318	0	2,0817173	0	0	0	0	0	0	0	NA
0	0	6630,0003149081	0	2,0820322	0	0	0	0	0	0	0	NA
0	0	6660,00031633303	0	2,0821111	0	0	0	0	0	0	0	NA
0	0	6690,00031775795	0	2,0825441	0	0	0	0	0	0	0	NA
0	0	6720,00031918287	0	2,0828197	0	0	0	0	0	0	0	NA
0	0	6750,0003206078	0	2,0831738	0	0	0	0	0	0	0	NA
0	0	6780,00032203272	0	2,0833707	0	0	0	0	0	0	0	NA
0	0	6810,00032345764	0	2,083725	0	0	0	0	0	0	0	NA
0	0	6840,00032488257	0	2,0838823	0	0	0	0	0	0	0	NA
0	0	6870,00032630749	0	2,0842762	0	0	0	0	0	0	0	NA
0	0	6900,00032773241	0	2,0845516	0	0	0	0	0	0	0	NA
0	0	6930,00032915734	0	2,0848665	0	0	0	0	0	0	0	NA
0	0	6960,00033058226	0	2,0850241	0	0	0	0	0	0	0	NA
0	0	6990,00033200718	0	2,0853784	0	0	0	0	0	0	0	NA
0	0	7020,00033343211	0	2,0856538	0	0	0	0	0	0	0	NA
0	0	7050,00033485703	0	2,086087	0	0	0	0	0	0	0	NA
0	0	7080,00033628196	0	2,086205	0	0	0	0	0	0	0	NA
0	0	7110,00033770688	0	2,0864806	0	0	0	0	0	0	0	NA
0	0	7140,0003391318	0	2,0868349	0	0	0	0	0	0	0	NA
0	0	7170,00034055673	0	2,0870709	0	0	0	0	0	0	0	NA
0	1	7200,05634198431	-6,27993285923719e-06	2,0607357	5,24304641617669e-08	0	-5,24304641617669e-08	-5,24304641617669e-08	5,24304641617669e-08	0	1,08045329397568e-10	NA
0	1	7200,08034198545	-0,0946471888320459	2,0456195	6,83411753012074e-07	0	-6,30981288850307e-07	-6,83411753012074e-07	6,83411753012074e-07	0	1,39879295028322e-09	NA
0	1	7200,13034198782	-0,0946441697824256	2,030503	1,99791417353683e-06	0	-1,31450242052476e-06	-1,99791417353683e-06	1,99791417353683e-06	0	4,06789410413684e-09	NA
